CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,IND,Income_share_held_by_third_20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,16.1,,,,,,16.2,,,,,,,,,,,15.4,,,,,15.2,,15.2,,,,,,,
India,IND,Income_share_held_by_second_20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,12.4,,,,,,12.7,,,,,,,,,,,12,,,,,11.8,,11.7,,,,,,,
India,IND,"Domestic_private_health_expenditure_per_capita,_PPP_(current_international_$)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.06855521,72.18217512,74.95769328,77.04310109,83.00767721,86.69521304,91.83799764,98.0857993,99.55124778,103.3821403,106.0528251,105.7345338,116.3291023,150.9139549,155.6318837,163.3245547,177.609652,,
India,IND,Domestic_private_health_expenditure_per_capita_(current_US$),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.22737985,15.65067124,16.11520552,17.60182995,20.05926897,21.74089195,23.14566041,27.90343604,28.68593544,28.18368614,32.95304932,34.23126314,34.85983423,43.09631428,43.19961541,43.42759235,46.12699522,,
India,IND,Domestic_private_health_expenditure_(%_of_current_health_expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.63828926,78.79404536,79.38268304,79.76470537,79.78323666,78.34146671,78.05872326,77.58825843,75.50201998,73.37129943,72.82317657,70.25712855,71.06796581,76.65864807,75.58837389,73.64810806,73.54952988,,
India,IND,"Out-of-pocket_expenditure_per_capita,_PPP_(current_international_$)",SH.XPD.OOPC.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00631681,67.88770942,69.28391389,70.91947009,75.41205836,80.94946448,85.01222241,89.52533888,91.17324409,94.06346943,94.92896316,93.64631037,103.1231063,135.9805456,137.977765,143.4019999,155.9445813,,
India,IND,Out-of-pocket_expenditure_per_capita_(current_US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.31099594,14.71953733,14.89539583,16.20278046,18.22374524,20.30000848,21.42538035,25.46815732,26.27179319,25.64326191,29.49660985,30.31773421,30.90245107,38.83179877,38.29926258,38.13023465,40.50036063,,
India,IND,Out-of-pocket_expenditure_(%_of_current_health_expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.70202583,74.1062076,73.37396249,73.42475262,72.48267027,73.14936493,72.25708003,70.81672557,69.14794392,66.7577491,65.18476657,62.22490065,63.00013712,69.07303434,67.01399891,64.66441011,64.57785669,,
India,IND,"Domestic_general_government_health_expenditure_per_capita,_PPP_(current_international_$)",SH.XPD.GHED.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.01847408,17.29288811,17.15189392,18.07779196,18.70917197,22.27289033,24.12599852,26.42002757,29.83470526,36.08546841,38.164412,43.45298911,45.81517426,45.41912834,48.72282903,56.86042264,61.40124602,,
India,IND,Domestic_general_government_health_expenditure_per_capita_(current_US$),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83912862,3.74947563,3.68749735,4.13018447,4.52117594,5.58545835,6.08040444,7.51596617,8.59694326,9.83749721,11.85855964,14.06778515,13.72923326,12.97028516,13.5242691,15.11904478,15.94651501,,
India,IND,Domestic_general_government_health_expenditure_(%_of_general_government_expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29074313,3.17510076,2.86857488,2.74544072,2.8100757,3.032887,2.9524098,2.95841491,2.97089478,3.19391981,3.16940536,3.48778336,3.51782788,3.09947248,3.02726097,3.14426719,3.14426719,,
India,IND,Domestic_general_government_health_expenditure_(%_of_GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8344299,0.80468139,0.77020202,0.75024338,0.71163452,0.76303693,0.74535338,0.73512709,0.79527895,0.89261258,0.85750189,0.93731915,0.93186863,0.86504196,0.8565355,0.92245631,0.93019386,,
India,IND,Domestic_general_government_health_expenditure_(%_of_current_health_expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.68014298,18.87691258,18.16442448,18.71640327,17.98241254,20.12672713,20.50615965,20.89888588,22.62734584,25.61020406,26.20631475,28.87308557,27.98948135,23.07121947,23.6640419,25.64012839,25.42673063,,
India,IND,"External_health_expenditure_per_capita,_PPP_(current_international_$)",SH.XPD.EHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20676383,2.13360439,2.31616211,1.46706617,2.32465212,1.69514648,1.68845037,1.91252726,2.46647662,1.43508906,1.41335756,1.30899748,1.54283754,0.53179593,1.53923061,1.5784311,2.47215742,,
India,IND,External_health_expenditure_per_capita_(current_US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49781491,0.46261201,0.49795327,0.33517666,0.56176517,0.4250984,0.42553518,0.54407552,0.71072127,0.39122908,0.43916267,0.42378432,0.46233539,0.15186431,0.42725288,0.4197009,0.6420439,,
India,IND,External_health_expenditure_(%_of_current_health_expenditure),SH.XPD.EHEX.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68156776,2.32904205,2.45289249,1.51889136,2.2343508,1.53180616,1.43511709,1.51285568,1.87063418,1.01849651,0.97050868,0.86978588,0.94255284,0.27013245,0.74758421,0.71176354,1.0237395,,
India,IND,"Current_health_expenditure_per_capita,_PPP_(current_international_$)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.29379314,91.60866764,94.42574933,96.58795918,104.0415013,110.6632499,117.6524465,126.4183541,131.8524296,140.9026977,145.6305946,150.4965205,163.687114,196.8648792,205.8939434,221.7634084,241.4830553,,
India,IND,Current_health_expenditure_per_capita_(current_US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.56432338,19.86275888,20.30065615,22.06719108,25.14221009,27.7514487,29.65160001,35.96347771,37.99359996,38.41241243,45.25077162,48.72283264,49.05140288,56.21846375,57.15113738,58.96633802,62.71555407,,
India,IND,Current_health_expenditure_(%_of_GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03493293,4.26278075,4.24016746,4.00848052,3.95739183,3.79116251,3.634778,3.51754201,3.51468067,3.48537865,3.27211934,3.24634215,3.32935296,3.74944184,3.61956552,3.59770551,3.65833057,,
India,IND,Newborns_protected_against_tetanus_(%),SH.VAC.TTNS.ZS,,,,,,,,,,,,,,,,,,,,,20,26,35,38,43,49,55,65,72,70,81,82,83,84,84,83,82,84,84,85,85,83,87,86,86,86,86,86,86,86,87,87,87,87,87,87,87,90,
India,IND,UHC_service_coverage_index,SH.UHC.SRVS.CV.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,
India,IND,Proportion_of_population_spending_more_than_25%_of_household_consumption_or_income_on_out-of-pocket_health_care_expenditure_(%),SH.UHC.OOPC.25.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1847,,,,,2.763489,,3.898898,,,,,,,
India,IND,Number_of_people_spending_more_than_25%_of_household_consumption_or_income_on_out-of-pocket_health_care_expenditure,SH.UHC.OOPC.25.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24600000,,,,,33600000,,48600000,,,,,,,
India,IND,Proportion_of_population_spending_more_than_10%_of_household_consumption_or_income_on_out-of-pocket_health_care_expenditure_(%),SH.UHC.OOPC.10.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.38995,,,,,13.30739,,17.33149,,,,,,,
India,IND,Number_of_people_spending_more_than_10%_of_household_consumption_or_income_on_out-of-pocket_health_care_expenditure,SH.UHC.OOPC.10.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151000000,,,,,162000000,,216000000,,,,,,,
India,IND,Proportion_of_population_pushed_below_the_$3.10_($_2011_PPP)_poverty_line_by_out-of-pocket_health_care_expenditure_(%),SH.UHC.NOP2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34274,,,,,3.367812,,4.609583,,,,,,,
India,IND,Increase_in_poverty_gap_at_$3.10_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(%_of_poverty_line),SH.UHC.NOP2.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25882,,,,,2.15484,,2.48085,,,,,,,
India,IND,Number_of_people_pushed_below_the_$3.10_($_2011_PPP)_poverty_line_by_out-of-pocket_health_care_expenditure,SH.UHC.NOP2.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26400000,,,,,40900000,,57500000,,,,,,,
India,IND,Increase_in_poverty_gap_at_$3.10_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(USD),SH.UHC.NOP2.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0700233,,,,,0.0668,,0.0769062,,,,,,,
India,IND,Proportion_of_population_pushed_below_the_$1.90_($_2011_PPP)_poverty_line_by_out-of-pocket_health_care_expenditure_(%),SH.UHC.NOP1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.128814,,,,,3.620288,,4.164312,,,,,,,
India,IND,Increase_in_poverty_gap_at_$1.90_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(%_of_poverty_line),SH.UHC.NOP1.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51872,,,,,1.09431,,1.11942,,,,,,,
India,IND,Number_of_people_pushed_below_the_$1.90_($_2011_PPP)_poverty_line_by_out-of-pocket_health_care_expenditure,SH.UHC.NOP1.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46500000,,,,,44000000,,51900000,,,,,,,
India,IND,Increase_in_poverty_gap_at_$1.90_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(USD),SH.UHC.NOP1.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0288557,,,,,0.0207919,,0.021269,,,,,,,
India,IND,"GNI_per_capita,_Atlas_method_(current_US$)",NY.GNP.PCAP.CD,,,90,100,110,110,110,110,100,110,120,120,120,140,170,190,180,190,210,220,270,300,290,280,280,290,310,350,390,390,380,350,340,330,340,370,400,410,410,440,440,450,460,520,610,710,790,920,1000,1120,1220,1370,1480,1520,1560,1600,1680,1790,
India,IND,"GNI,_PPP_(constant_2011_international_$)",NY.GNP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643245742436,1656920424143,1747769989961,1833395440874,1957686340198,2109245312338,2272587524876,2366448423410,2512844615987,2737429087731,2834804310669,2977080215059,3095987274013,3337070318607,3602679546443,3887253983865,4198109545357,4535539357537,4667289096335,5033912182598,5434876112361,5731191285361,6025621779239,6406006726033,6886128896576,7434085405608,7989960228117,8464451609342,
India,IND,"GNI,_PPP_(current_international_$)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061303339135,1105838336878,1192955310147,1281321450080,1397225128276,1536811633801,1686080170816,1785891147549,1917111094882,2120089713834,2245122771546,2411817011472,2547051348620,2800010932466,3106177128702,3459571748553,3850883114057,4271774611842,4481972601087,4871062529362,5323988621683,5731191285361,6141496013915,6643581773378,7275510087191,7938516848600,8624882171660,9311805791756,
India,IND,GNI_(constant_LCU),NY.GNP.MKTP.KN,7342328894755,7607545128734,7829308387465,8301911538645,8916569753335,8677039075035,8660752556073,9342937290380,9661215000848,10296186415865,10829779176443,11010470567367,10951925769590,11319459208110,11468627651754,12526708683180,12738614689342,13666427814199,14459184811078,13736376757251,14677858135346,15526974372358,16012299283408,17163910371748,17794882003731,18741420993043,19625420496822,20371305318100,22265942801873,23562314763494,24828514388467,25035131099992,26407816690366,27701568857265,29579534095525,31869504501836,34337513010549,35755698136238,37967661861413,41361006291958,42832290873063,44981999372558,46778617825834,50421246366975,54434451674461,58734210579444,63431062414763,68529436157930,70520100244840,76059567859052,82117906208752,86595060992338,91043739339628,96791140888116,104045515514939,112324828655642,120723783037467,127893079620263,
India,IND,GNI_growth_(annual_%),NY.GNP.MKTP.KD.ZG,,3.612154097,2.915043618,6.036333323,7.403815517,-2.686354562,-0.1876967341,7.876737384,3.406612937,6.572376404,5.182431038,1.668467916,-0.5317193068,3.355879562,1.317805391,9.225873082,1.691633545,7.283469573,5.800762333,-4.99895439,6.853928039,5.785014606,3.125688878,7.192040743,3.676153151,5.319164179,4.716822188,3.800605553,9.300520778,5.822219042,5.373833758,0.8321750883,5.483037356,4.899125823,6.779273939,7.741739268,7.744106936,4.130133494,6.186325091,8.937459575,3.557177915,5.018896855,3.994083141,7.786952053,7.959353639,7.898966138,7.996790608,8.037660965,2.904830681,7.855161287,7.96525476,5.452105382,5.137334966,6.312791621,7.494874593,7.957395472,7.477380097,5.938595033,
India,IND,GNI_(constant_2010_US$),NY.GNP.MKTP.KD,148214776300,153568522414,158045111825,167585241576,179992943696,175157695043,174828929770,188599745438,195024608766,207842360134,218613647117,222261145679,221079340255,228498496650,231509662157,252868449761,257146057281,275875212120,291878077510,277287225542,296292292442,313432844837,323229780408,346476597908,359213608280,378320769859,396165487874,411222175407,449467979273,475636989548,501196930659,505367766659,533077270091,559193396289,597102648473,643328778679,693148847253,721776819953,766428280465,834927498205,864627354775,908022109890,944289267894,1017820620427,1098832563016,1185628975078,1280441241603,1383358767455,1423542997358,1535364595794,1657660297352,1748037683631,1837840234773,1953859259121,2100298560319,2267427622862,2436971804646,2581693691186,
India,IND,GNI_(current_LCU),NY.GNP.MKTP.CN,175612608246,185840940431,199688765268,229460362836,267503499106,281960224272,318758241921,373432075524,395590928559,435649973117,465328634113,498289124451,549433379446,669156580843,790868779984,849574517255,915786853117,1037905223581,1125153710321,1237151822263,1474078718919,1728155094568,1926205680327,2241302443496,2507642558214,2831050921997,3165609489036,3592457121899,4248670003949,4875466253769,5685642193564,6521834993886,7495509499530,8639124463406,10144870835165,11920987046713,13817340080808,15320889128247,17573290541285,19728306204802,21171527418421,22951750125085,24759238443341,27718222082197,31639570000000,36060090000000,42213950000000,48781500000000,54812290000000,63284070000000,75526650000000,86595060000000,98272500000000,110936378038600,123205294184400,136042577870300,150773836949600,165872779170000,
India,IND,GNI_(current_US$),NY.GNP.MKTP.CD,36878684610,39026636517,41934682641,48186724382,56175790988,59210462888,45536891703,49790943403,52745457141,58086663082,62043817882,66959944696,71072540223,85101943386,99161038666,98178116955,102456490957,121215208593,137110198426,153181098294,186762456786,193535410506,200056674629,217346849186,210960271748,231344151699,247574354908,277014081960,293483321748,292602881564,316775340199,265995407319,283799339659,275444516964,323108725644,356252339856,389212076370,412314049035,417792948093,455259499536,463418971412,481233333720,511490048637,603192907507,704168762436,814482897257,932915280832,1211640632180,1191737328672,1333877206036,1657660297352,1807018978955,1806177643078,1833601556953,2015015376661,2077985258106,2247940078566,2571997977572,
India,IND,"GNI,_Atlas_method_(current_US$)",NY.GNP.ATLS.CD,,,41173873246,45729180977,52536802919,55857845347,53934011203,55004486288,53910367833,59167586736,63879488240,67629476027,71807502702,85739087100,102230293054,118282720639,115091129701,121037699210,138152460272,152445424143,188583010163,210991101621,210368659744,212449389272,215868743537,229292237898,250405926184,287582804714,329150409371,332774157884,334591622164,308580882805,312509846149,300633059272,322746420921,354316695643,395271263527,409899623715,420153313977,454396979427,467082167276,485442601734,500197990475,573893157475,687282207318,809085136749,916983764988,1081966788415,1195030855937,1358351379651,1505735392314,1704431624197,1870994255309,1941116415236,2020999036100,2096390916901,2228067890134,2396333630101,
India,IND,Gross_domestic_income_(constant_LCU),NY.GDY.TOTL.KN,7400145085036,7674472216852,7898379663165,8372546876886,8992085450160,8751719875719,8753542184708,9437661727880,9757318082403,10392445318543,10912224709400,11137366574533,11123217333490,11393583123805,11371758806188,12363625349986,12584522054965,13648974950525,14331816174494,13502350191164,14324706732400,15303897671026,15857039451847,17220745550127,17746722619002,18719134710861,19792717717522,20516590875020,22522640828753,23819526236040,24984165301081,25378059527028,26884122498166,28466114018291,30526142374892,32619143498121,34766511724833,36674605379847,39114927303535,42097238614026,43585351974886,45612997177492,46898918628925,50995994953111,54294987933796,58611107174535,63302793432023,68138416433617,70953954127593,76328505506585,83261371531610,87363288108910,91828791047599,97000692972431,103761941541731,112498778127492,122082133381692,132065402724429,
India,IND,Gross_domestic_savings_(%_of_GDP),NY.GDS.TOTL.ZS,6.320158355,7.126310442,7.927452907,9.774432881,9.701950286,8.849359816,6.777493832,5.696813952,10.14727178,11.41281454,11.53241514,10.19046377,10.54833601,12.26585904,9.945803792,12.91416433,15.32220137,14.69008406,14.14290695,14.42109774,12.63334005,14.3543272,14.78108379,14.46910157,15.13134454,16.15562655,15.33715868,16.64671353,18.30407023,20.28327196,21.66043513,21.93030109,23.36581288,23.56659036,24.75834697,25.78477255,25.15063771,25.07084733,24.26481941,23.79131681,24.29505934,24.08163147,25.65391841,27.62285195,31.24376242,32.2551399,34.08757849,34.37736672,32.78469654,32.58044922,34.26753022,32.70831983,32.85518998,32.05907377,31.43142609,30.56442821,30.35534412,29.98695187,
India,IND,Gross_domestic_savings_(current_LCU),NY.GDS.TOTL.CN,11144500072,13313440185,15915849318,22537922803,26093734775,25096804286,21759702544,21420708379,40400442099,50029210757,53991150424,51074515192,58274638775,82476443358,78947680000,110044760431,140675713047,152811428768,159350071604,178190230684,185789526894,248007619498,285651196304,325662210225,381594738690,459682653444,488282907643,602385819957,785909051196,1000528422859,1247877637237,1452357214968,1778596212859,2064415514150,2544093665891,3108567583509,3508051209166,3874182776843,4300446795480,4730336211425,5198865108128,5575482898955,6394531219621,7713764850049,9955300000000,11715470000000,14503000000000,16840310000000,18077980000000,20742040000000,26161450000000,28575063363270,32671243968925,36013629801255,39188574100495,42092945052894,46633051403688,51262708666776,
India,IND,Gross_domestic_savings_(current_US$),NY.GDS.TOTL.CD,2340347355,2795825235,3342331699,4732968522,5479689782,5270223496,3108528935,2856094451,5386725613,6670561434,7198820057,6863378197,7538177991,10489182673,9898650885,12716939056,15738531158,17846590221,19418253467,22063076455,23539115003,27774275931,29667874527,31580590784,32102394142,37563751568,38187377910,46449922501,54287859194,60047077423,69525455455,59234916144,67342244148,65820551205,81028026444,92897884285,98816117078,104261572161,102240177534,109159421691,113796830682,116902118921,132101764439,167863877918,221564682474,264615256044,320511828860,418281599674,393054251026,437192714733,574191983706,596289001039,600473890745,595247914549,640926836177,642949587250,695268538342,794871730465,
India,IND,Total_natural_resources_rents_(%_of_GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.6872748456,0.8505441528,0.8336683226,0.9677349715,1.380828862,2.984709656,2.916341787,3.946107479,3.365038768,3.258841403,2.918613175,3.909924319,4.108305289,3.47737694,3.380457882,3.510965098,2.428856549,2.173571417,2.045272844,2.895289345,3.410522107,3.21993544,2.730027748,2.518437284,2.076471757,2.500937784,2.445079028,2.191250807,1.758703742,1.777213369,2.422637191,2.467175732,2.299208493,2.338280594,3.28688793,3.800130034,4.131110985,4.712668886,7.351268587,3.503852129,4.482880744,5.300210171,3.978743032,3.609366826,2.814354736,1.834144643,1.837673495,2.142972297,
India,IND,Oil_rents_(%_of_GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.04606878599,0.05669114563,0.0465208418,0.05622238023,0.1813982858,0.4039967399,0.5394378776,0.6449630838,0.6422226967,1.530869308,1.026286381,1.604685298,1.36607332,1.704591434,1.776986317,2.06824801,0.9724344715,1.117390932,0.8155833041,1.432511355,1.7842735,1.239849823,0.9637892801,1.010588645,0.8434562693,0.9343086184,1.00438024,0.9091607867,0.4917465283,0.7201225341,1.208719693,0.8819005336,0.8900210449,0.9181412277,1.070270904,1.331758755,1.381831113,1.173877405,1.595445488,0.6767016295,0.8016844752,1.330552556,1.296459155,1.154449776,0.9255462274,0.3542102523,0.2350212,0.3223508706,
